codmpio,depto,mpio,found,source,found2,comments
25168,CUNDINAMARCA,CHAGUANI,1770,WEB.MUN,,
25178,CUNDINAMARCA,CHIPAQUE,1564,BZ93,,
25181,CUNDINAMARCA,CHOACHI,1550,BZ93,,
25183,CUNDINAMARCA,CHOCONTA,1537,BZ93,,
25224,CUNDINAMARCA,CUCUNUBA,1578,BZ93,,
25245,CUNDINAMARCA,EL COLEGIO,1653,WEB.MUN,,
25258,CUNDINAMARCA,EL PEÑON,1830,BZ93,,
25269,CUNDINAMARCA,FACATATIVA,1561,BZ93,,
25279,CUNDINAMARCA,FOMEQUE,1592,BZ93,,
25281,CUNDINAMARCA,FOSCA,1536,BZ93,,
25288,CUNDINAMARCA,FUQUENE,1542,BZ93,,
25290,CUNDINAMARCA,FUSAGASUGA,1540,BZ93,,
25293,CUNDINAMARCA,GACHALA,1819,BZ93,,
25297,CUNDINAMARCA,GACHETA,1593,BZ93,,
25299,CUNDINAMARCA,GAMA,1870,BZ93,,
25307,CUNDINAMARCA,GIRARDOT,1852,BZ93,,
25317,CUNDINAMARCA,GUACHETA,1537,BZ93,,
25320,CUNDINAMARCA,GUADUAS,1551,BZ93,,
25322,CUNDINAMARCA,GUASCA,1639,BZ93,,
25324,CUNDINAMARCA,GUATAQUI,1539,BZ93,,
25326,CUNDINAMARCA,GUATAVITA,1593,BZ93,,
25328,CUNDINAMARCA,GUAYABAL DE SIQUIMA,1839,BZ93,,
25335,CUNDINAMARCA,GUAYABETAL,1980,BZ93,,
25339,CUNDINAMARCA,GUTIERREZ,1860,BZ93,,
25368,CUNDINAMARCA,JERUSALEN,1878,BZ93,,
25372,CUNDINAMARCA,JUNIN,1550,BZ93,,
25386,CUNDINAMARCA,LA MESA,1777,WEB.MUN,,
25394,CUNDINAMARCA,LA PALMA,1561,BZ93,,
25398,CUNDINAMARCA,LA PEÑA,1751,BZ93,,
25402,CUNDINAMARCA,LA VEGA,1605,WEB.MUN,,
25407,CUNDINAMARCA,LENGUAZAQUE,1539,BZ93,,
25426,CUNDINAMARCA,MACHETA,1540,BZ93,,
25436,CUNDINAMARCA,MANTA,1773,BZ93,,
25438,CUNDINAMARCA,MEDINA,1620,WEB.MUN,,
25483,CUNDINAMARCA,NARIÑO,1833,BZ93,,
25486,CUNDINAMARCA,NEMOCON,1537,BZ93,,
25488,CUNDINAMARCA,NILO,1783,WEB.MUN,,
25489,CUNDINAMARCA,NIMAIMA,1605,WEB.MUN,,
25491,CUNDINAMARCA,NOCAIMA,1605,WEB.MUN,,
25506,CUNDINAMARCA,VENECIA,1924,BZ93,,
25513,CUNDINAMARCA,PACHO,1604,WEB.MUN,,
25518,CUNDINAMARCA,PAIME,1517,WEB.MUN,,
25524,CUNDINAMARCA,PANDI,1793,WEB.MUN,,
25535,CUNDINAMARCA,PASCA,1552,BZ93,,
25572,CUNDINAMARCA,PUERTO SALGAR,1923,BZ93,,
